Conflict,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
2_6324_6396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6406185626983643,0.0,0.3276720643043518,0.030327316373586655,0.0
2_6332_6396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4064009189605713,0.0,0.15622016787528992,0.43574613332748413,0.0
2_6344_6396,0.4233914613723755,0.0,0.0,0.0,0.0,0.0,0.0,0.5001384615898132,0.0,0.0750441774725914,0.0,0.0
2_6344_6412,0.18152129650115967,0.0,0.0,0.0,0.0,0.0,0.0,0.38678643107414246,0.0,0.43005943298339844,0.0,0.0
2_6360_6396,0.12640145421028137,0.0,0.0,0.0,0.0,0.0,0.042429301887750626,0.15821020305156708,0.0,0.1896335780620575,0.0,0.4827328026294708
2_6360_6412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625378429889679,0.3734184503555298,0.0
2_6375_6396,0.19792616367340088,0.0,0.0,0.0,0.0,0.0,0.0,0.4089350998401642,0.0,0.0,0.08511647582054138,0.30701109766960144
2_6375_6412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8755916357040405,0.0,0.0,0.12237255275249481,0.0
2_6502_6886,0.39252540469169617,0.0,0.0,0.0,0.0,0.0,0.0,0.19460006058216095,0.0,0.0,0.37729886174201965,0.03401070088148117
2_6502_6895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5741454362869263,0.0,0.17422708868980408,0.0,0.24958759546279907
1_6502_6789,0.0,0.0,0.0,0.0,0.560495913028717,0.0,0.0,0.0,0.43639078736305237,0.0,0.0,0.0
2_6568_6886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997562050819397,0.0,0.0
2_6568_6895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996867835521698,0.0,0.0
1_6568_6773,0.0016339869471266866,0.0016339869471266866,0.0016339869471266866,0.0016339869471266866,0.0016339869471266866,0.0016339869471266866,0.9820261001586914,0.0016339869471266866,0.0016339869471266866,0.0016339869471266866,0.0016339869471266866,0.0016339869471266866
1_6568_6789,0.0,0.0,0.0,0.0,0.991615891456604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_6591_6886,0.430451899766922,0.0,0.0,0.0,0.0,0.0,0.0,0.4882296919822693,0.0,0.07811782509088516,0.0,0.0
